Building,No. Collisions
KGH,949
RAC,391
Mudd Library,364
Allen Center,206
Norris,95
Cook Hall,64
Barber Theater,60
Ryan Arts Center,55
CUP,53
Segal Visitor Center,46
Francis Searle,38
Pick Stager,29
Block Museum,23
Sailing Center,18
Pancoe-Cook bridge,15
Silverman Hall,11
Lewis Theater,9
Northwestern Campus,7
Regenstein,6
Kresge/Crowe,5
Annenberg Hall,5
Walter Annenberg Hall,2
Marshall Dance Center,2
south library,2
Library ,2
Cook-Pancoe bridge,2
Pancoe Life Sciences,1
McGaw Pavilion,1
2256 Campus Circle Dr,1
Hogan Bldg,1
Deering Tower,1
Silverman-Pancoe,1
Alvina Krause Studio,1
betw Ryan and Silverman,1
2255 Campus Circle Dr,1
