Date,Time,0
2019-05-06 00:00:00,08:00:00,14
2021-05-14 00:00:00,08:00:00,14
2019-05-20 00:00:00,08:45:00,12
2021-05-02 00:00:00,06:26:00,11
2017-08-25 00:00:00,07:15:00,9
2018-05-02 00:00:00,08:40:00,9
2018-05-24 00:00:00,05:00:00,8
2021-09-10 00:00:00,06:45:00,8
2019-05-16 00:00:00,09:00:00,7
2017-10-25 00:00:00,09:00:00,6
2018-10-17 00:00:00,07:15:00,6
2019-05-16 00:00:00,06:30:00,6
2017-10-24 00:00:00,06:30:00,6
2018-10-17 00:00:00,08:50:00,6
2018-10-17 00:00:00,10:00:00,6
2021-05-25 00:00:00,08:00:00,6
2018-05-03 00:00:00,10:00:00,6
2018-05-04 00:00:00,09:35:00,5
2019-05-26 00:00:00,08:05:00,5
2017-09-29 00:00:00,07:00:00,5
2020-09-29 00:00:00,07:00:00,5
2017-10-20 00:00:00,06:30:00,5
2017-09-05 00:00:00,08:30:00,5
2019-10-15 00:00:00,07:40:00,4
2018-05-01 00:00:00,07:35:00,4
2018-05-01 00:00:00,08:20:00,4
2021-04-02 00:00:00,07:00:00,4
2019-05-16 00:00:00,07:20:00,4
2021-09-13 00:00:00,06:50:00,4
2018-05-02 00:00:00,09:45:00,4
2018-05-09 00:00:00,07:45:00,4
2019-04-23 00:00:00,08:00:00,4
2019-05-23 00:00:00,07:00:00,4
2019-05-06 00:00:00,07:55:00,4
2021-05-15 00:00:00,06:40:00,4
2021-06-04 00:00:00,06:00:00,4
2018-04-12 00:00:00,07:45:00,4
2018-10-09 00:00:00,06:15:00,4
2018-05-11 00:00:00,07:20:00,4
2019-10-08 00:00:00,08:15:00,4
2018-10-18 00:00:00,09:00:00,4
2021-05-16 00:00:00,06:20:00,4
2019-05-10 00:00:00,05:55:00,3
2021-05-02 00:00:00,07:15:00,3
2020-03-20 00:00:00,10:15:00,3
2021-09-23 00:00:00,07:20:00,3
2018-05-03 00:00:00,06:45:00,3
2019-05-16 00:00:00,11:00:00,3
2021-05-21 00:00:00,07:00:00,3
2019-05-10 00:00:00,08:15:00,3
2021-05-03 00:00:00,07:40:00,3
2018-08-30 00:00:00,08:30:00,3
2019-05-07 00:00:00,05:45:00,3
2017-10-25 00:00:00,07:30:00,3
2019-10-25 00:00:00,08:20:00,3
2021-09-13 00:00:00,06:10:00,3
2021-09-10 00:00:00,07:30:00,3
2018-05-29 00:00:00,04:55:00,3
2019-05-16 00:00:00,06:50:00,3
