,Date,Building
0,2017-08-20 00:00:00,CUP
1,2017-08-23 00:00:00,Barber Theater
2,2017-08-23 00:00:00,KGH
3,2017-08-23 00:00:00,KGH
4,2017-08-23 00:00:00,KGH
5,2017-08-23 00:00:00,KGH
6,2017-08-23 00:00:00,KGH
7,2017-08-24 00:00:00,KGH
8,2017-08-25 00:00:00,Francis Searle
9,2017-08-25 00:00:00,Francis Searle
10,2017-08-25 00:00:00,KGH
11,2017-08-25 00:00:00,KGH
12,2017-08-25 00:00:00,KGH
13,2017-08-25 00:00:00,KGH
14,2017-08-25 00:00:00,KGH
15,2017-08-25 00:00:00,KGH
16,2017-08-25 00:00:00,KGH
17,2017-08-25 00:00:00,KGH
18,2017-08-25 00:00:00,KGH
19,2017-08-25 00:00:00,Norris
20,2017-08-27 00:00:00,Allen Center
21,2017-08-27 00:00:00,Allen Center
22,2017-08-30 00:00:00,KGH
23,2017-08-30 00:00:00,KGH
24,2017-08-31 00:00:00,Allen Center
25,2017-09-02 00:00:00,Block Museum
26,2017-09-02 00:00:00,Pick Stager
27,2017-09-03 00:00:00,Allen Center
28,2017-09-03 00:00:00,Allen Center
29,2017-09-03 00:00:00,Allen Center
30,2017-09-04 00:00:00,KGH
31,2017-09-04 00:00:00,KGH
32,2017-09-04 00:00:00,KGH
33,2017-09-05 00:00:00,KGH
34,2017-09-05 00:00:00,KGH
35,2017-09-05 00:00:00,KGH
36,2017-09-05 00:00:00,KGH
37,2017-09-05 00:00:00,KGH
38,2017-09-05 00:00:00,KGH
39,2017-09-05 00:00:00,Ryan Arts Center
40,2017-09-06 00:00:00,Allen Center
41,2017-09-07 00:00:00,Allen Center
42,2017-09-07 00:00:00,KGH
43,2017-09-07 00:00:00,KGH
44,2017-09-07 00:00:00,Norris
45,2017-09-07 00:00:00,Segal Visitor Center
46,2017-09-08 00:00:00,Allen Center
47,2017-09-08 00:00:00,Francis Searle
48,2017-09-08 00:00:00,Francis Searle
49,2017-09-08 00:00:00,KGH
50,2017-09-08 00:00:00,KGH
51,2017-09-08 00:00:00,KGH
52,2017-09-09 00:00:00,KGH
53,2017-09-09 00:00:00,Segal Visitor Center
54,2017-09-10 00:00:00,Barber Theater
55,2017-09-11 00:00:00,KGH
56,2017-09-12 00:00:00,Allen Center
57,2017-09-13 00:00:00,KGH
58,2017-09-13 00:00:00,Ryan Arts Center
59,2017-09-14 00:00:00,CUP
60,2017-09-14 00:00:00,Francis Searle
61,2017-09-14 00:00:00,Ryan Arts Center
62,2017-09-17 00:00:00,Allen Center
63,2017-09-18 00:00:00,Cook Hall
64,2017-09-19 00:00:00,CUP
65,2017-09-19 00:00:00,KGH
66,2017-09-19 00:00:00,KGH
67,2017-09-20 00:00:00,KGH
68,2017-09-21 00:00:00,KGH
69,2017-09-22 00:00:00,Pick Stager
70,2017-09-23 00:00:00,KGH
71,2017-09-26 00:00:00,KGH
72,2017-09-26 00:00:00,KGH
73,2017-09-26 00:00:00,KGH
74,2017-09-26 00:00:00,KGH
75,2017-09-26 00:00:00,KGH
76,2017-09-26 00:00:00,KGH
77,2017-09-26 00:00:00,Norris
78,2017-09-27 00:00:00,Allen Center
79,2017-09-27 00:00:00,KGH
80,2017-09-27 00:00:00,KGH
81,2017-09-27 00:00:00,KGH
82,2017-09-27 00:00:00,KGH
83,2017-09-27 00:00:00,KGH
84,2017-09-27 00:00:00,KGH
85,2017-09-27 00:00:00,KGH
86,2017-09-27 00:00:00,KGH
87,2017-09-27 00:00:00,KGH
88,2017-09-27 00:00:00,KGH
89,2017-09-27 00:00:00,KGH
90,2017-09-27 00:00:00,KGH
91,2017-09-27 00:00:00,KGH
92,2017-09-27 00:00:00,KGH
93,2017-09-27 00:00:00,KGH
94,2017-09-27 00:00:00,KGH
95,2017-09-27 00:00:00,KGH
96,2017-09-27 00:00:00,KGH
97,2017-09-27 00:00:00,KGH
98,2017-09-27 00:00:00,KGH
99,2017-09-27 00:00:00,KGH
100,2017-09-27 00:00:00,KGH
101,2017-09-27 00:00:00,Norris
102,2017-09-28 00:00:00,Allen Center
103,2017-09-28 00:00:00,Allen Center
104,2017-09-28 00:00:00,Francis Searle
105,2017-09-28 00:00:00,Francis Searle
106,2017-09-28 00:00:00,KGH
107,2017-09-28 00:00:00,KGH
108,2017-09-28 00:00:00,KGH
109,2017-09-28 00:00:00,KGH
110,2017-09-28 00:00:00,KGH
111,2017-09-28 00:00:00,KGH
112,2017-09-29 00:00:00,Allen Center
113,2017-09-29 00:00:00,Allen Center
114,2017-09-29 00:00:00,Barber Theater
115,2017-09-29 00:00:00,Francis Searle
116,2017-09-29 00:00:00,Francis Searle
117,2017-09-29 00:00:00,Francis Searle
118,2017-09-29 00:00:00,Francis Searle
119,2017-09-29 00:00:00,KGH
120,2017-09-29 00:00:00,KGH
121,2017-09-29 00:00:00,KGH
122,2017-09-29 00:00:00,KGH
123,2017-09-29 00:00:00,KGH
124,2017-09-29 00:00:00,KGH
125,2017-09-29 00:00:00,KGH
126,2017-09-29 00:00:00,Mudd Library
127,2017-09-29 00:00:00,Mudd Library
128,2017-09-29 00:00:00,Mudd Library
129,2017-09-29 00:00:00,Mudd Library
130,2017-09-30 00:00:00,KGH
